STATION,NAME,DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1,32,4,-7777,-7777,0,0,0,0,10.3,1.2,109,32,4,-7777,-7777,0,0,0,0,31,18,46,124,251,402,463,556,711,4.07,5.69,7.07,18.2,12.1,3.7,0.8,5.57,0,0,1.3,1.3,0.6,0.2,0,0,1.4,0.7,0.1,0,0,42,2.8,276,10,3,0,0,0,0,0.4,47.2,2.9,0,0,2,6.4,204,307,310,310,36.9,50,152,413,757,954,998,2.8
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2,38,6,-7777,-7777,0,0,0,0,13.1,1.8,120,38,6,-7777,-7777,0,0,0,0,48,31,25,83,190,325,381,465,605,2.05,3.41,4.47,14.7,9.1,2,0.3,3.5,0,0.4,2.1,0.9,0.5,0.2,0.1,0,1.7,0.9,0.4,0.3,0,43.4,2.6,267,13,13,0,0,0,0,0.1,49.9,2.7,0,-7777,2,5.5,189,277,280,280,36.9,28,93,291,622,900,1000,2.9
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3,83,18,2,1,-7777,0,0,-7777,14.4,1.3,207,83,18,2,1,-7777,-7777,0,0,96,71,5,36,126,266,326,419,574,2.67,3.72,4.16,16.9,10.6,1.6,0.3,3.72,0,0,0.2,0.5,0.3,0.1,0.1,0,0.8,0.4,0.1,0.1,0,46.5,2.3,307,22.8,44,2,0,0,0,0,53.7,2.8,0,0,-7777,1.6,171,308,310,310,39.3,0,5,40,167,613,973,2
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4,166,62,17,9,3,-7777,0,-7777,16.2,1.7,311,166,62,17,9,3,-7777,-7777,0,160,130,-7777,6,51,157,209,292,440,1.48,2.68,3.5,14.3,7.5,1.3,0.2,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3,1.7,300,28.1,103,25,1,0,0,0,58.5,2.2,0,0,0,-7777,91,291,300,300,42.2,0,0,0,0,79,682,1.6
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5,341,192,81,53,25,1,-7777,6,17.4,2,496,341,192,81,53,25,6,1,-7777,279,238,0,-7777,6,50,84,149,285,1.34,1.93,2.78,12,6,0.8,-7777,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.1,310,30.9,218,68,15,0.1,0,0,64.7,2.8,0,0,0,0,12,230,309,310,47.3,0,0,0,0,0,51,1.7
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6,477,327,182,130,70,6,3,21,18,2,627,477,327,182,130,70,21,6,3,388,333,0,0,-7777,5,13,43,144,1.14,1.59,1.86,9.1,4.4,0.8,0.2,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,2,300,30,283,127,33,0.5,0,0,69.9,2.9,0,0,0,0,0,81,294,300,51.9,0,0,0,0,0,0,1.3
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7,642,487,332,270,181,20,12,71,20.2,2.1,797,642,487,332,270,181,71,20,12,542,480,0,0,0,-7777,-7777,5,49,0.28,0.58,1.1,5,2.3,0.2,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,65.7,2.3,310,31,308,234,86,1.4,-7777,0,75.8,3.2,0,0,0,0,0,5,283,310,55.6,0,0,0,0,0,0,1.6
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8,654,499,344,282,191,17,8,70,20.4,1.8,809,654,499,344,282,191,70,17,8,556,495,0,0,0,0,-7777,2,36,0.29,0.63,1.28,4.8,2.3,0.5,0.1,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,1.3,310,31,310,257,87,0.8,0,0,76.3,1.9,0,0,0,0,0,7,287,310,55.9,0,0,0,0,0,0,1.1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9,489,339,194,143,81,3,1,21,18.4,2.5,639,489,339,194,143,81,21,3,1,403,349,0,0,-7777,6,14,42,132,0.78,1.29,1.9,7.9,4.1,0.7,0.1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,1.7,300,30,282,142,35,0.2,0,0,70.5,2.7,0,0,0,0,1,86,297,300,52.1,0,0,0,0,0,0,1.4
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10,244,111,31,16,4,0,0,-7777,13.9,1.6,395,244,111,31,16,4,-7777,0,0,196,158,-7777,3,26,101,148,229,380,2.18,3.08,5.24,13.1,7.8,2,0.5,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,1.5,310,29.8,137,19,1,0,0,0,59.7,1.9,0,0,0,0.1,35,256,310,310,45.8,0,0,0,0,58,435,1.4
